Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Limit buy,24/02/2026 20:06:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080932,3,72.06,USD,1.34969095,,,160.41,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:06:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080944,0.13329447,72.06,USD,1.34904487,,,7.13,GBP,,,0.01,GBP
Limit buy,24/02/2026 20:18:00,MHY410531021,INSW,International Seaways,EOF47109082730,8.5073489,69.73,USD,1.34978597,,,440.15,GBP,,,0.66,GBP
Limit buy,24/02/2026 20:18:00,MHY410531021,INSW,International Seaways,EOF47109082733,1.4926511,69.73,USD,1.34979329,,,77.23,GBP,,,0.12,GBP
Limit buy,24/02/2026 20:19:00,MHY410531021,INSW,International Seaways,EOF47109082901,7,69.74,USD,1.34979401,,,362.21,GBP,,,0.54,GBP
Dividend (Dividend),25/02/2026 15:29:00,US97717P1049,WT,WisdomTree,,100,0.0255,USD,0.739246,,,1.89,GBP,0.45,USD,,
Dividend (Dividend),26/02/2026 14:47:00,VGG6564A1057,NOMD,Nomad Foods,,100,0.17,USD,0.737708,,,12.54,GBP,0,USD,,
Limit sell,26/02/2026 15:01:00,MHY410531021,INSW,International Seaways,EOF47206893815,17,69.5,USD,1.35423233,-5.82,GBP,871.14,GBP,,,1.31,GBP
Limit sell,26/02/2026 15:07:00,VGG6564A1057,NOMD,Nomad Foods,EOF47206897699,100,10.9,USD,1.35454206,-107.93,GBP,803.49,GBP,,,1.21,GBP
Limit buy,26/02/2026 15:09:00,US0231351067,AMZN,Amazon,EOF47206898965,5,209.34,USD,1.35449557,,,773.92,GBP,,,1.16,GBP
Limit buy,26/02/2026 19:38:00,CA2960061091,ERO,ERO Copper,EOF47210481852,25,33.88,USD,1.34821087,,,629.18,GBP,,,0.94,GBP
Limit buy,26/02/2026 19:38:00,US5949181045,MSFT,Microsoft,EOF47210481888,5,401.98,USD,1.34822039,,,1493.02,GBP,,,2.24,GBP
Limit buy,26/02/2026 19:42:00,US48581R2058,KSPI,Kaspi.KZ,EOF47210482783,22.73964588,71.55,USD,1.34807747,,,1208.73,GBP,,,1.81,GBP
Limit buy,26/02/2026 19:42:00,US48581R2058,KSPI,Kaspi.KZ,EOF47210482809,2.26035412,71.55,USD,1.3479608,,,120.16,GBP,,,0.18,GBP
Limit buy,26/02/2026 19:43:00,US78392B1070,HY9H,SK hynix,EOF47210482888,2,646,EUR,1.14306947,,,1131.99,GBP,,,1.7,GBP
Limit sell,27/02/2026 16:13:00,US5949724083,MSTR,Strategy,EOF47260298600,15,128.75,USD,1.34506895,0.66,GBP,1433.65,GBP,,,2.15,GBP
Limit buy,02/03/2026 17:33:00,CA2960061091,ERO,ERO Copper,EOF47427274518,15,32.86,USD,1.34042206,,,368.27,GBP,,,0.55,GBP
Limit buy,03/03/2026 07:00:00,US78392B1070,HY9H,SK hynix,EOF47429893930,1,562,EUR,1.14495263,,,491.59,GBP,,,0.74,GBP
Limit buy,03/03/2026 07:05:00,US78392B1070,HY9H,SK hynix,EOF47429895711,1,556,EUR,1.14504602,,,486.3,GBP,,,0.73,GBP
Limit sell,06/03/2026 15:58:00,CA2960061091,ERO,ERO Copper,EOF47608628366,65,28.18,USD,1.33582748,-185.55,GBP,1369.15,GBP,,,2.06,GBP
